externalid,binnumber,location,Concat
A6B1,A6B1,Houston,A6B1Houston
A6B2,A6B2,Houston,A6B2Houston
A6C1,A6C1,Houston,A6C1Houston
A6C2,A6C2,Houston,A6C2Houston
A6D1,A6D1,Houston,A6D1Houston
A6D2,A6D2,Houston,A6D2Houston
A6E1,A6E1,Houston,A6E1Houston
A6E2,A6E2,Houston,A6E2Houston
A7A1,A7A1,Houston,A7A1Houston
A7A2,A7A2,Houston,A7A2Houston
A7B1,A7B1,Houston,A7B1Houston
A7B2,A7B2,Houston,A7B2Houston
A7C1,A7C1,Houston,A7C1Houston
A7C2,A7C2,Houston,A7C2Houston
A7D1,A7D1,Houston,A7D1Houston
A7D2,A7D2,Houston,A7D2Houston
A7E1,A7E1,Houston,A7E1Houston
A7E2,A7E2,Houston,A7E2Houston
B1A1,B1A1,Houston,B1A1Houston
B1A2,B1A2,Houston,B1A2Houston
B1B1,B1B1,Houston,B1B1Houston
B1B2,B1B2,Houston,B1B2Houston
B1C1,B1C1,Houston,B1C1Houston
B1C2,B1C2,Houston,B1C2Houston
B1D1,B1D1,Houston,B1D1Houston
B1D2,B1D2,Houston,B1D2Houston
B1E1,B1E1,Houston,B1E1Houston
B1E2,B1E2,Houston,B1E2Houston
B2A1,B2A1,Houston,B2A1Houston
B2A2,B2A2,Houston,B2A2Houston
B2B1,B2B1,Houston,B2B1Houston
B2B2,B2B2,Houston,B2B2Houston
B2C1,B2C1,Houston,B2C1Houston
B2C2,B2C2,Houston,B2C2Houston
B2D1,B2D1,Houston,B2D1Houston
B2D2,B2D2,Houston,B2D2Houston
B2E1,B2E1,Houston,B2E1Houston
B2E2,B2E2,Houston,B2E2Houston
B3A1,B3A1,Houston,B3A1Houston
B3A2,B3A2,Houston,B3A2Houston
B3B1,B3B1,Haughton,B3B1Haughton
B3B1,B3B1,Houston,B3B1Houston
B3B2,B3B2,Houston,B3B2Houston
B3C1,B3C1,Houston,B3C1Houston
B3C2,B3C2,Houston,B3C2Houston
B3D1,B3D1,Houston,B3D1Houston
B3D2,B3D2,Houston,B3D2Houston
B3E1,B3E1,Houston,B3E1Houston
B3E2,B3E2,Houston,B3E2Houston
B4A1,B4A1,Haughton,B4A1Haughton
B4A1,B4A1,Houston,B4A1Houston
B4A2,B4A2,Haughton,B4A2Haughton
B4A2,B4A2,Houston,B4A2Houston
B4B1,B4B1,Haughton,B4B1Haughton
B4B1,B4B1,Houston,B4B1Houston
B4B2,B4B2,Haughton,B4B2Haughton
B4B2,B4B2,Houston,B4B2Houston
B4C1,B4C1,Haughton,B4C1Haughton
B4C1,B4C1,Houston,B4C1Houston
B4C2,B4C2,Haughton,B4C2Haughton
B4C2,B4C2,Houston,B4C2Houston
B4D1,B4D1,Haughton,B4D1Haughton
B4D1,B4D1,Houston,B4D1Houston
B4D2,B4D2,Haughton,B4D2Haughton
B4D2,B4D2,Houston,B4D2Houston
B4E1,B4E1,Houston,B4E1Houston
B4E2,B4E2,Houston,B4E2Houston
B5A1,B5A1,Haughton,B5A1Haughton
B5A1,B5A1,Houston,B5A1Houston
B5A2,B5A2,Haughton,B5A2Haughton
B5A2,B5A2,Houston,B5A2Houston
B5B1,B5B1,Haughton,B5B1Haughton
B5B1,B5B1,Houston,B5B1Houston
B5B2,B5B2,Haughton,B5B2Haughton
B5B2,B5B2,Houston,B5B2Houston
B5C1,B5C1,Haughton,B5C1Haughton
B5C1,B5C1,Houston,B5C1Houston
B5C2,B5C2,Haughton,B5C2Haughton
B5C2,B5C2,Houston,B5C2Houston
B5D1,B5D1,Haughton,B5D1Haughton
B5D1,B5D1,Houston,B5D1Houston
B5D2,B5D2,Haughton,B5D2Haughton
B5D2,B5D2,Houston,B5D2Houston
B5E1,B5E1,Houston,B5E1Houston
B5E2,B5E2,Houston,B5E2Houston
B6A1,B6A1,Haughton,B6A1Haughton
B6A2,B6A2,Haughton,B6A2Haughton
B6B1,B6B1,Haughton,B6B1Haughton
B6B2,B6B2,Haughton,B6B2Haughton
B6C1,B6C1,Haughton,B6C1Haughton
B6C2,B6C2,Haughton,B6C2Haughton
B6D1,B6D1,Haughton,B6D1Haughton
B6D2,B6D2,Haughton,B6D2Haughton
B7A1,B7A1,Haughton,B7A1Haughton
B7A2,B7A2,Haughton,B7A2Haughton
B7B1,B7B1,Haughton,B7B1Haughton
B7B2,B7B2,Haughton,B7B2Haughton
B7C1,B7C1,Haughton,B7C1Haughton
B7C2,B7C2,Haughton,B7C2Haughton
B7D1,B7D1,Haughton,B7D1Haughton
B7D2,B7D2,Haughton,B7D2Haughton
BAR RACK,BAR RACK,Haughton,BAR RACKHaughton
C1A1,C1A1,Houston,C1A1Houston
C1A2,C1A2,Houston,C1A2Houston
C1B1,C1B1,Houston,C1B1Houston
C1B2,C1B2,Houston,C1B2Houston
C1C1,C1C1,Houston,C1C1Houston
C1C2,C1C2,Houston,C1C2Houston
C1D1,C1D1,Houston,C1D1Houston
C1D2,C1D2,Houston,C1D2Houston
C1E1,C1E1,Houston,C1E1Houston
C1E2,C1E2,Houston,C1E2Houston
C2A1,C2A1,Houston,C2A1Houston
C2A2,C2A2,Houston,C2A2Houston
C2B1,C2B1,Houston,C2B1Houston
C2B2,C2B2,Houston,C2B2Houston
C2C1,C2C1,Houston,C2C1Houston
C2C2,C2C2,Houston,C2C2Houston
C2D1,C2D1,Houston,C2D1Houston
C2D2,C2D2,Houston,C2D2Houston
C2E1,C2E1,Houston,C2E1Houston
C2E2,C2E2,Houston,C2E2Houston
C3A1,C3A1,Houston,C3A1Houston
C3A2,C3A2,Houston,C3A2Houston
C3B1,C3B1,Houston,C3B1Houston
C3B2,C3B2,Houston,C3B2Houston
C3C1,C3C1,Houston,C3C1Houston
C3C2,C3C2,Houston,C3C2Houston
C3D1,C3D1,Houston,C3D1Houston
C3D2,C3D2,Houston,C3D2Houston
C3E1,C3E1,Houston,C3E1Houston
C3E2,C3E2,Houston,C3E2Houston
C4A1,C4A1,Haughton,C4A1Haughton
C4A1,C4A1,Houston,C4A1Houston
C4A2,C4A2,Haughton,C4A2Haughton
C4A2,C4A2,Houston,C4A2Houston
C4B1,C4B1,Haughton,C4B1Haughton
C4B1,C4B1,Houston,C4B1Houston
C4B2,C4B2,Haughton,C4B2Haughton
C4B2,C4B2,Houston,C4B2Houston
C4C1,C4C1,Haughton,C4C1Haughton
C4C1,C4C1,Houston,C4C1Houston
C4C2,C4C2,Haughton,C4C2Haughton
C4C2,C4C2,Houston,C4C2Houston
C4D1,C4D1,Haughton,C4D1Haughton
C4D1,C4D1,Houston,C4D1Houston
C4D2,C4D2,Haughton,C4D2Haughton
C4D2,C4D2,Houston,C4D2Houston
C4E1,C4E1,Houston,C4E1Houston
C4E2,C4E2,Houston,C4E2Houston
C5A1,C5A1,Haughton,C5A1Haughton
C5A1,C5A1,Houston,C5A1Houston
C5A2,C5A2,Haughton,C5A2Haughton
C5A2,C5A2,Houston,C5A2Houston
C5B1,C5B1,Haughton,C5B1Haughton
C5B1,C5B1,Houston,C5B1Houston
C5B2,C5B2,Haughton,C5B2Haughton
C5B2,C5B2,Houston,C5B2Houston
C5C1,C5C1,Haughton,C5C1Haughton
C5C1,C5C1,Houston,C5C1Houston
C5C2,C5C2,Haughton,C5C2Haughton
C5C2,C5C2,Houston,C5C2Houston
C5D1,C5D1,Haughton,C5D1Haughton
C5D1,C5D1,Houston,C5D1Houston
C5D2,C5D2,Haughton,C5D2Haughton
C5D2,C5D2,Houston,C5D2Houston
C5E1,C5E1,Houston,C5E1Houston
C5E2,C5E2,Houston,C5E2Houston
C6A1,C6A1,Haughton,C6A1Haughton
C6A2,C6A2,Haughton,C6A2Haughton
C6B1,C6B1,Haughton,C6B1Haughton
C6B2,C6B2,Haughton,C6B2Haughton
C6C1,C6C1,Haughton,C6C1Haughton
C6C2,C6C2,Haughton,C6C2Haughton
C6D1,C6D1,Haughton,C6D1Haughton
C6D2,C6D2,Haughton,C6D2Haughton
C7A1,C7A1,Haughton,C7A1Haughton
C7A2,C7A2,Haughton,C7A2Haughton
C7B1,C7B1,Haughton,C7B1Haughton
C7B2,C7B2,Haughton,C7B2Haughton
C7C1,C7C1,Haughton,C7C1Haughton
C7C2,C7C2,Haughton,C7C2Haughton
C7D1,C7D1,Haughton,C7D1Haughton
C7D2,C7D2,Haughton,C7D2Haughton
D1A1,D1A1,Houston,D1A1Houston
D1A2,D1A2,Houston,D1A2Houston
D1B1,D1B1,Houston,D1B1Houston
D1B2,D1B2,Houston,D1B2Houston
D1C1,D1C1,Houston,D1C1Houston
D1C2,D1C2,Houston,D1C2Houston
D1D1,D1D1,Houston,D1D1Houston
D1D2,D1D2,Houston,D1D2Houston
D1E1,D1E1,Houston,D1E1Houston
D1E2,D1E2,Houston,D1E2Houston
D2A1,D2A1,Houston,D2A1Houston
D2A2,D2A2,Houston,D2A2Houston
D2B1,D2B1,Houston,D2B1Houston
D2B2,D2B2,Houston,D2B2Houston
D2C1,D2C1,Houston,D2C1Houston
D2C2,D2C2,Houston,D2C2Houston
D2D1,D2D1,Houston,D2D1Houston
D2D2,D2D2,Houston,D2D2Houston
D2E1,D2E1,Houston,D2E1Houston
D2E2,D2E2,Houston,D2E2Houston
D3A1,D3A1,Houston,D3A1Houston
D3A2,D3A2,Houston,D3A2Houston
D3B1,D3B1,Houston,D3B1Houston
D3B2,D3B2,Houston,D3B2Houston
D3C1,D3C1,Houston,D3C1Houston
D3C2,D3C2,Houston,D3C2Houston
D3D1,D3D1,Houston,D3D1Houston
D3D2,D3D2,Houston,D3D2Houston
D3E1,D3E1,Houston,D3E1Houston
D3E2,D3E2,Houston,D3E2Houston
D4A1,D4A1,Haughton,D4A1Haughton
D4A1,D4A1,Houston,D4A1Houston
D4A2,D4A2,Haughton,D4A2Haughton
D4A2,D4A2,Houston,D4A2Houston
D4B1,D4B1,Haughton,D4B1Haughton
D4B1,D4B1,Houston,D4B1Houston
D4B2,D4B2,Haughton,D4B2Haughton
D4B2,D4B2,Houston,D4B2Houston
D4C1,D4C1,Haughton,D4C1Haughton
D4C1,D4C1,Houston,D4C1Houston
D4C2,D4C2,Haughton,D4C2Haughton
D4C2,D4C2,Houston,D4C2Houston
D4D1,D4D1,Haughton,D4D1Haughton
D4D1,D4D1,Houston,D4D1Houston
D4D2,D4D2,Haughton,D4D2Haughton
D4D2,D4D2,Houston,D4D2Houston
D4E1,D4E1,Houston,D4E1Houston
D4E2,D4E2,Houston,D4E2Houston
D5A1,D5A1,Haughton,D5A1Haughton
D5A1,D5A1,Houston,D5A1Houston
D5A2,D5A2,Haughton,D5A2Haughton
D5A2,D5A2,Houston,D5A2Houston
D5B1,D5B1,Haughton,D5B1Haughton
D5B1,D5B1,Houston,D5B1Houston
D5B2,D5B2,Haughton,D5B2Haughton
D5B2,D5B2,Houston,D5B2Houston
D5C1,D5C1,Haughton,D5C1Haughton
D5C1,D5C1,Houston,D5C1Houston
D5C2,D5C2,Haughton,D5C2Haughton
D5C2,D5C2,Houston,D5C2Houston
D5D1,D5D1,Haughton,D5D1Haughton
D5D1,D5D1,Houston,D5D1Houston
D5D2,D5D2,Haughton,D5D2Haughton
D5D2,D5D2,Houston,D5D2Houston
D5E1,D5E1,Houston,D5E1Houston
D5E2,D5E2,Houston,D5E2Houston
D6A1,D6A1,Haughton,D6A1Haughton
D6A2,D6A2,Haughton,D6A2Haughton
D6B1,D6B1,Haughton,D6B1Haughton
D6B2,D6B2,Haughton,D6B2Haughton
D6C1,D6C1,Haughton,D6C1Haughton
D6C2,D6C2,Haughton,D6C2Haughton
D6D1,D6D1,Haughton,D6D1Haughton
D6D2,D6D2,Haughton,D6D2Haughton
D7A1,D7A1,Haughton,D7A1Haughton
D7A2,D7A2,Haughton,D7A2Haughton
D7B1,D7B1,Haughton,D7B1Haughton
D7B2,D7B2,Haughton,D7B2Haughton
D7C1,D7C1,Haughton,D7C1Haughton
D7C2,D7C2,Haughton,D7C2Haughton
D7D1,D7D1,Haughton,D7D1Haughton
D7D2,D7D2,Haughton,D7D2Haughton
E1A1,E1A1,Haughton,E1A1Haughton
E1A1,E1A1,Houston,E1A1Houston
E1A2,E1A2,Haughton,E1A2Haughton
E1A2,E1A2,Houston,E1A2Houston
E1B1,E1B1,Haughton,E1B1Haughton
E1B1,E1B1,Houston,E1B1Houston
E1B2,E1B2,Haughton,E1B2Haughton
E1B2,E1B2,Houston,E1B2Houston
E1C,E1C,Haughton,E1CHaughton
E1C1,E1C1,Haughton,E1C1Haughton
E1C1,E1C1,Houston,E1C1Houston
E1C2,E1C2,Haughton,E1C2Haughton
E1C2,E1C2,Houston,E1C2Houston
E1D1,E1D1,Haughton,E1D1Haughton
E1D1,E1D1,Houston,E1D1Houston
E1D2,E1D2,Haughton,E1D2Haughton
E1D2,E1D2,Houston,E1D2Houston
E1E1,E1E1,Houston,E1E1Houston
E1E2,E1E2,Houston,E1E2Houston
E2A1,E2A1,Haughton,E2A1Haughton
E2A1,E2A1,Houston,E2A1Houston
E2A2,E2A2,Haughton,E2A2Haughton
E2A2,E2A2,Houston,E2A2Houston
E2B1,E2B1,Haughton,E2B1Haughton
E2B1,E2B1,Houston,E2B1Houston
E2B2,E2B2,Haughton,E2B2Haughton
E2B2,E2B2,Houston,E2B2Houston
E2C1,E2C1,Haughton,E2C1Haughton
E2C1,E2C1,Houston,E2C1Houston
E2C2,E2C2,Haughton,E2C2Haughton
E2C2,E2C2,Houston,E2C2Houston
E2D1,E2D1,Haughton,E2D1Haughton
E2D1,E2D1,Houston,E2D1Houston
E2D2,E2D2,Haughton,E2D2Haughton
E2D2,E2D2,Houston,E2D2Houston
E2E1,E2E1,Houston,E2E1Houston
E2E2,E2E2,Houston,E2E2Houston
E3A1,E3A1,Haughton,E3A1Haughton
E3A1,E3A1,Houston,E3A1Houston
E3A2,E3A2,Haughton,E3A2Haughton
E3A2,E3A2,Houston,E3A2Houston
E3B1,E3B1,Haughton,E3B1Haughton
E3B1,E3B1,Houston,E3B1Houston
E3B2,E3B2,Haughton,E3B2Haughton
E3B2,E3B2,Houston,E3B2Houston
E3C1,E3C1,Haughton,E3C1Haughton
E3C1,E3C1,Houston,E3C1Houston
E3C2,E3C2,Haughton,E3C2Haughton
E3C2,E3C2,Houston,E3C2Houston
E3D1,E3D1,Haughton,E3D1Haughton
E3D1,E3D1,Houston,E3D1Houston
E3D2,E3D2,Haughton,E3D2Haughton
E3D2,E3D2,Houston,E3D2Houston
E3E1,E3E1,Houston,E3E1Houston
E3E2,E3E2,Houston,E3E2Houston
E4A1,E4A1,Haughton,E4A1Haughton
E4A1,E4A1,Houston,E4A1Houston
E4A2,E4A2,Haughton,E4A2Haughton
E4A2,E4A2,Houston,E4A2Houston
E4B1,E4B1,Haughton,E4B1Haughton
E4B1,E4B1,Houston,E4B1Houston
E4B2,E4B2,Haughton,E4B2Haughton
E4B2,E4B2,Houston,E4B2Houston
E4C1,E4C1,Haughton,E4C1Haughton
E4C1,E4C1,Houston,E4C1Houston
E4C2,E4C2,Haughton,E4C2Haughton
E4C2,E4C2,Houston,E4C2Houston
E4D1,E4D1,Haughton,E4D1Haughton
E4D1,E4D1,Houston,E4D1Houston
E4D2,E4D2,Haughton,E4D2Haughton
E4D2,E4D2,Houston,E4D2Houston
E4E1,E4E1,Houston,E4E1Houston
E4E2,E4E2,Houston,E4E2Houston
E5A1,E5A1,Haughton,E5A1Haughton
E5A1,E5A1,Houston,E5A1Houston
E5A2,E5A2,Haughton,E5A2Haughton
E5A2,E5A2,Houston,E5A2Houston
E5B1,E5B1,Haughton,E5B1Haughton
E5B1,E5B1,Houston,E5B1Houston
E5B2,E5B2,Haughton,E5B2Haughton
E5B2,E5B2,Houston,E5B2Houston
E5C1,E5C1,Haughton,E5C1Haughton
E5C1,E5C1,Houston,E5C1Houston
E5C2,E5C2,Haughton,E5C2Haughton
E5C2,E5C2,Houston,E5C2Houston
E5D1,E5D1,Haughton,E5D1Haughton
E5D1,E5D1,Houston,E5D1Houston
E5D2,E5D2,Haughton,E5D2Haughton
E5D2,E5D2,Houston,E5D2Houston
E5E1,E5E1,Houston,E5E1Houston
E5E2,E5E2,Houston,E5E2Houston
E6A1,E6A1,Haughton,E6A1Haughton
E6A2,E6A2,Haughton,E6A2Haughton
E6B1,E6B1,Haughton,E6B1Haughton
E6B2,E6B2,Haughton,E6B2Haughton
E6C1,E6C1,Haughton,E6C1Haughton
E6C2,E6C2,Haughton,E6C2Haughton
E6D1,E6D1,Haughton,E6D1Haughton
E6D2,E6D2,Haughton,E6D2Haughton
E7A1,E7A1,Haughton,E7A1Haughton
E7A2,E7A2,Haughton,E7A2Haughton
E7B1,E7B1,Haughton,E7B1Haughton
E7B2,E7B2,Haughton,E7B2Haughton
E7C1,E7C1,Haughton,E7C1Haughton
E7C2,E7C2,Haughton,E7C2Haughton
E7D1,E7D1,Haughton,E7D1Haughton
E7D2,E7D2,Haughton,E7D2Haughton
F1A1,F1A1,Haughton,F1A1Haughton
F1A1,F1A1,Houston,F1A1Houston
F1A2,F1A2,Haughton,F1A2Haughton
F1A2,F1A2,Houston,F1A2Houston
F1B,F1B,Haughton,F1BHaughton
F1B1,F1B1,Haughton,F1B1Haughton
F1B1,F1B1,Houston,F1B1Houston
F1B2,F1B2,Haughton,F1B2Haughton
F1B2,F1B2,Houston,F1B2Houston
F1C1,F1C1,Haughton,F1C1Haughton
F1C1,F1C1,Houston,F1C1Houston
F1C2,F1C2,Haughton,F1C2Haughton
F1C2,F1C2,Houston,F1C2Houston
F1D1,F1D1,Haughton,F1D1Haughton
F1D1,F1D1,Houston,F1D1Houston
F1D2,F1D2,Haughton,F1D2Haughton
F1D2,F1D2,Houston,F1D2Houston
F1E1,F1E1,Haughton,F1E1Haughton
F1E1,F1E1,Houston,F1E1Houston
F1E2,F1E2,Haughton,F1E2Haughton
F1E2,F1E2,Houston,F1E2Houston
F2A1,F2A1,Haughton,F2A1Haughton
F2A1,F2A1,Houston,F2A1Houston
F2A2,F2A2,Haughton,F2A2Haughton
F2A2,F2A2,Houston,F2A2Houston
F2B1,F2B1,Haughton,F2B1Haughton
F2B1,F2B1,Houston,F2B1Houston
F2B2,F2B2,Haughton,F2B2Haughton
F2B2,F2B2,Houston,F2B2Houston
F2C1,F2C1,Haughton,F2C1Haughton
F2C1,F2C1,Houston,F2C1Houston
F2C2,F2C2,Haughton,F2C2Haughton
F2C2,F2C2,Houston,F2C2Houston
F2D1,F2D1,Haughton,F2D1Haughton
F2D1,F2D1,Houston,F2D1Houston
F2D2,F2D2,Haughton,F2D2Haughton
F2D2,F2D2,Houston,F2D2Houston
F2E1,F2E1,Haughton,F2E1Haughton
F2E1,F2E1,Houston,F2E1Houston
F2E2,F2E2,Haughton,F2E2Haughton
F2E2,F2E2,Houston,F2E2Houston
F3 PALLET,F3 PALLET,Haughton,F3 PALLETHaughton
F3A1,F3A1,Haughton,F3A1Haughton
F3A1,F3A1,Houston,F3A1Houston
F3A2,F3A2,Haughton,F3A2Haughton
F3A2,F3A2,Houston,F3A2Houston
F3B1,F3B1,Haughton,F3B1Haughton
F3B1,F3B1,Houston,F3B1Houston
F3B2,F3B2,Haughton,F3B2Haughton
F3B2,F3B2,Houston,F3B2Houston
F3C1,F3C1,Haughton,F3C1Haughton
F3C1,F3C1,Houston,F3C1Houston
F3C2,F3C2,Haughton,F3C2Haughton
F3C2,F3C2,Houston,F3C2Houston
F3D1,F3D1,Haughton,F3D1Haughton
F3D1,F3D1,Houston,F3D1Houston
F3D2,F3D2,Haughton,F3D2Haughton
F3D2,F3D2,Houston,F3D2Houston
F3E1,F3E1,Haughton,F3E1Haughton
F3E1,F3E1,Houston,F3E1Houston
F3E2,F3E2,Haughton,F3E2Haughton
F3E2,F3E2,Houston,F3E2Houston
F4A1,F4A1,Haughton,F4A1Haughton
F4A1,F4A1,Houston,F4A1Houston
F4A2,F4A2,Haughton,F4A2Haughton
F4A2,F4A2,Houston,F4A2Houston
F4B1,F4B1,Haughton,F4B1Haughton
F4B1,F4B1,Houston,F4B1Houston
F4B2,F4B2,Haughton,F4B2Haughton
F4B2,F4B2,Houston,F4B2Houston
F4C1,F4C1,Haughton,F4C1Haughton
F4C1,F4C1,Houston,F4C1Houston
F4C2,F4C2,Haughton,F4C2Haughton
F4C2,F4C2,Houston,F4C2Houston
F4D1,F4D1,Haughton,F4D1Haughton
F4D1,F4D1,Houston,F4D1Houston
F4D2,F4D2,Haughton,F4D2Haughton
F4D2,F4D2,Houston,F4D2Houston
F4E1,F4E1,Haughton,F4E1Haughton
F4E1,F4E1,Houston,F4E1Houston
F4E2,F4E2,Haughton,F4E2Haughton
F4E2,F4E2,Houston,F4E2Houston
F5A1,F5A1,Haughton,F5A1Haughton
F5A1,F5A1,Houston,F5A1Houston
F5A2,F5A2,Haughton,F5A2Haughton
F5A2,F5A2,Houston,F5A2Houston
F5B1,F5B1,Haughton,F5B1Haughton
F5B1,F5B1,Houston,F5B1Houston
F5B2,F5B2,Haughton,F5B2Haughton
F5B2,F5B2,Houston,F5B2Houston
F5C1,F5C1,Haughton,F5C1Haughton
F5C1,F5C1,Houston,F5C1Houston
F5C2,F5C2,Haughton,F5C2Haughton
F5C2,F5C2,Houston,F5C2Houston
F5D1,F5D1,Haughton,F5D1Haughton
F5D1,F5D1,Houston,F5D1Houston
F5D2,F5D2,Haughton,F5D2Haughton
F5D2,F5D2,Houston,F5D2Houston
F5E1,F5E1,Haughton,F5E1Haughton
F5E1,F5E1,Houston,F5E1Houston
F5E2,F5E2,Haughton,F5E2Haughton
F5E2,F5E2,Houston,F5E2Houston
F6A1,F6A1,Haughton,F6A1Haughton
F6A1,F6A1,Houston,F6A1Houston
F6A2,F6A2,Haughton,F6A2Haughton
F6A2,F6A2,Houston,F6A2Houston
F6B1,F6B1,Haughton,F6B1Haughton
F6B1,F6B1,Houston,F6B1Houston
F6B2,F6B2,Haughton,F6B2Haughton
F6B2,F6B2,Houston,F6B2Houston
F6C1,F6C1,Haughton,F6C1Haughton
F6C1,F6C1,Houston,F6C1Houston
F6C2,F6C2,Haughton,F6C2Haughton
F6C2,F6C2,Houston,F6C2Houston
F6D1,F6D1,Haughton,F6D1Haughton
F6D1,F6D1,Houston,F6D1Houston
F6D2,F6D2,Haughton,F6D2Haughton
F6D2,F6D2,Houston,F6D2Houston
F6E1,F6E1,Haughton,F6E1Haughton
F6E1,F6E1,Houston,F6E1Houston
F6E2,F6E2,Haughton,F6E2Haughton
F6E2,F6E2,Houston,F6E2Houston
F7A1,F7A1,Haughton,F7A1Haughton
F7A2,F7A2,Haughton,F7A2Haughton
F7B1,F7B1,Haughton,F7B1Haughton
F7B2,F7B2,Haughton,F7B2Haughton
F7C1,F7C1,Haughton,F7C1Haughton
F7C2,F7C2,Haughton,F7C2Haughton
F7D1,F7D1,Haughton,F7D1Haughton
F7D2,F7D2,Haughton,F7D2Haughton
F7E1,F7E1,Haughton,F7E1Haughton
F7E2,F7E2,Haughton,F7E2Haughton
G1A1,G1A1,Haughton,G1A1Haughton
G1A2,G1A2,Haughton,G1A2Haughton
G1B1,G1B1,Haughton,G1B1Haughton
G1B2,G1B2,Haughton,G1B2Haughton
G1C1,G1C1,Haughton,G1C1Haughton
G1C2,G1C2,Haughton,G1C2Haughton
G1D1,G1D1,Haughton,G1D1Haughton
G1D2,G1D2,Haughton,G1D2Haughton
G1E1,G1E1,Haughton,G1E1Haughton
G1E2,G1E2,Haughton,G1E2Haughton
G2A1,G2A1,Haughton,G2A1Haughton
G2A2,G2A2,Haughton,G2A2Haughton
G2B1,G2B1,Haughton,G2B1Haughton
G2B2,G2B2,Haughton,G2B2Haughton
G2C,G2C,Haughton,G2CHaughton
G2C1,G2C1,Haughton,G2C1Haughton
G2C2,G2C2,Haughton,G2C2Haughton
G2D1,G2D1,Haughton,G2D1Haughton
G2D2,G2D2,Haughton,G2D2Haughton
G2E1,G2E1,Haughton,G2E1Haughton
G2E2,G2E2,Haughton,G2E2Haughton
G3A,G3A,Haughton,G3AHaughton
G3A1,G3A1,Haughton,G3A1Haughton
G3A2,G3A2,Haughton,G3A2Haughton
G3B,G3B,Haughton,G3BHaughton
G3B1,G3B1,Haughton,G3B1Haughton
G3B2,G3B2,Haughton,G3B2Haughton
G3C,G3C,Haughton,G3CHaughton
G3C1,G3C1,Haughton,G3C1Haughton
G3C2,G3C2,Haughton,G3C2Haughton
G3D1,G3D1,Haughton,G3D1Haughton
G3D2,G3D2,Haughton,G3D2Haughton
G3E1,G3E1,Haughton,G3E1Haughton
G3E2,G3E2,Haughton,G3E2Haughton
G4A1,G4A1,Haughton,G4A1Haughton
G4A2,G4A2,Haughton,G4A2Haughton
G4B1,G4B1,Haughton,G4B1Haughton
G4B2,G4B2,Haughton,G4B2Haughton
G4C1,G4C1,Haughton,G4C1Haughton
G4C2,G4C2,Haughton,G4C2Haughton
G4D1,G4D1,Haughton,G4D1Haughton
G4D2,G4D2,Haughton,G4D2Haughton
G4E1,G4E1,Haughton,G4E1Haughton
